country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
        Australia,0,0,0.030346975,0.030346975,0.091060014,0.060719403,0.4,0.4,0.5,1.3,1,0.5,1,2.4,3.5,5.5,9.2,9.1,8.5,7.7,10,8.7,9,7.2,10,8.4,13,12,16,18,17,15,26,22,NA
        Austria,1.024498341,0.9,0.8,1.6,3,3.3,2.3,2.2,4.2,2.5,5.1,4.5,4.6,5.1,4.9,3.8,4.7,4.7,4.1,4.8,5,4.6,4.9,4.2,3.9,4.1,4.7,3.9,3.4,3,3.6,2.9,2.5,2,NA
        Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0.06356,0,0.7,0.3,0.7,1,0,0,0,0,0,0,0,0,0,NA,NA
        Bahrain,NA,NA,NA,NA,NA,NA,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Bangladesh,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.03178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Barbados,NA,NA,NA,NA,NA,NA,0.3,0.3,0,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA
        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,0,3.9,5,4.6,3.6,5.5,5.5,3.7,4,3.3,2,2.7,1,1,1,1.6,0.9,0.8,1.8,0.031780822,0.2,NA,NA
        Belgium,7.815520047,10,11,9.7,9.2,8.7,6.6,7,5.5,6.2,4.8,13,19,18,15,17,16,18,14,11,11,7.2,5,4.1,5.9,6.5,8.1,6.5,38,36,23,43,48,56,NA
        Belize,NA,NA,NA,NA,NA,NA,0.00602,0.1,0.09099,0.09534,0.08,0.09534,0.09508,0.09534,0.09534,0.1,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,NA,NA
        Benin,NA,NA,NA,NA,NA,NA,0.02005,0.02335,0,0,0,0,0,0,0,0,0,0.03178,0,0,0.063387978,0.063561644,0.063561644,0.3,0.3,0.4,0.4,0.4,0.5,0.3,0.3,0.3,0.3,NA,NA
        Bermuda,NA,NA,NA,NA,NA,NA,0.09534,0.09534,0.09508,0.09534,0.1,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.2,0.1,0.095342466,0.063561644,0.095342466,0.095081967,NA,NA
        Bhutan,NA,NA,NA,NA,NA,NA,0.06356,0.06356,0.06338,0.06356,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.09534,0.09534,0.095342466,0.095081967,0.095342466,0.095342466,0.095342466,0.1,0.095342466,0.1,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA
        Bolivia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095342466,0.7,1.1,1.2,NA,NA
        Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.095342466,1.6,1.7,1.8,NA,NA
        Botswana,NA,0.060184879,0.060184879,0.060184879,0.060184879,0.090290045,0.1,0,0.04631,0.2,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.9,1,1,1,0.9,1,1,1,1,1,1,1,1,NA,NA
        Brazil,3.853531271,3.8,23,14,7.4,14,18,22,40,40,40,47,48,53,54,73,77,80,87,92,89,66,58,35,32,30,27,38,38,44,54,58,49,NA,NA
        British Virgin Islands,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Brunei,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Bulgaria,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.2,0.3,0,0.03178,0,0.03178,0,0.031780822,3.9,5.5,7.4,8.5,7.4,7.3,8.9,7.9,7.5,8.5,8.8,8.5,9.1,NA,NA
        Burkina Faso,NA,NA,NA,NA,NA,NA,0.03178,0,0.03971,0.02827,0.05866,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.031780822,0.031693989,0.031780822,0.031780822,0.031780822,0.031693989,0.031780822,0.3,0.7,0.8,0.7,0.7,0.7,0.7,NA,NA
        Burma,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.06338,0.03178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,NA,NA
        Burundi,NA,NA,NA,NA,NA,NA,0.00381,0.00413,0,0,0,0,0,0,0,0,0,0,0,0,0.031693989,0.031780822,0.063561644,0.063561644,0.031693989,0.063561644,0.063561644,0.063561644,0.057205479,0.063561644,0.063561644,0.063561644,0.063387978,NA,NA
        Cabo Verde,NA,NA,NA,NA,NA,NA,0.09534,0.09534,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,NA,NA
        Cambodia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1.4,1.7,1.7,3.1,3.8,5.1,5.8,6,6.3,7.2,7.4,9.4,9.5,9.7,9.9,1.4,3.3,3.5,NA,NA
        Cameroon,0.150500377,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0,0,0,0,0,0.03178,0.03178,0,0.3,0,0.031780822,0,0,0,0,1,1.2,1.2,1.1,1.2,1.2,NA,NA
        Canada,NA,NA,NA,NA,0.030105166,NA,0,0.4,0.063387978,0.4,0.3,0.6,0.1,0.7,3.2,3.9,2.8,2.8,2.4,1.6,2.8,4.3,6.9,0,0,0,0,0.2,4.6,5.8,6,12,20,11,NA
        Cayman Islands,NA,NA,NA,NA,NA,NA,0.03178,0.06356,0.06338,0.06356,0.09534,0.06356,0.09508,0.09534,0.09534,0.09508,0.09508,0.09534,0.09534,0.095342466,0.095081967,0.095342466,0.095342466,0.095342466,0.1,0.095342466,0.1,0.2,0.2,0.063561644,0.063561644,0.063561644,0.063561644,NA,NA
        Central African Republic,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Chad,NA,NA,NA,NA,NA,NA,0,0.1,0.00104,0.00105,0.00444,0,0,0,0,0,0,0,0,0,0.031693989,0.031780822,0.031780822,0.031780822,0.031693989,0,0.031780822,0.031780822,0.031780822,0.031780822,0.031780822,0.031780822,0.031780822,NA,NA
        Chile,NA,1.2,2.6,0.3,NA,NA,0.4,0.7,2.4,2.3,4.7,7,7.7,10,11,15,16,16,16,17,21,16,20,19,20,19,21,30,31,29,25,25,24,33,NA
        China,NA,NA,NA,NA,NA,NA,0,0,0.8,1,2.8,3.8,0.6,19,31,32,54,117,152,176,153,155,199,202,202,196,170,129,82,130,104,111,114,NA,NA
        Colombia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2.3,0.5,0.3,0.052,0,0.06356,0.2,0,0,0.095342466,0,0.031693989,0.063561644,0,0,0,1,0.9,0.5,0,NA,NA
        Comoros,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Congo-Brazzaville,0.060184879,0.060184879,0.090290045,NA,0.030105166,0.030105166,0,0.03178,0.02535,0.03178,0.03178,0.03178,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.031780822,0,0.031780822,0.1,0.063561644,0.063561644,0.063561644,0.031780822,NA,NA
        Congo-Kinshasa,0.210685256,0.3,0.2,0.2,0.3,0.3,0,0.0068,0.018,0.01207,0.01271,0.4,0.4,0.4,0.4,0.3,0.03169,0.4,0.5,0.031780822,0.031693989,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Cook Islands,NA,NA,NA,NA,NA,NA,5.7,5.7,5.7,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Costa Rica,0.511692375,0.5,0.2,0.4,0.3,0.4,0.3,0.3,0.4,0.5,0.7,0.8,0.9,0.9,1.8,0.7,1.4,1.5,1.9,2.3,2.4,2.5,3.2,3.3,3.2,3,3.1,3.4,3.1,3.3,3.4,3.7,3.9,NA,NA
        Croatia,--,--,--,--,--,--,--,--,--,--,--,--,0,0,1.5,0.1,0.1,0.06356,0.09534,0.031780822,0.031693989,0.095342466,0.2,0.2,0.3,0.3,0.063561644,0.063561644,0.3,0.5,0.4,0.4,0.4,NA,NA
        Cuba,NA,0.2,0.058880385,0.2,0.1,NA,0.3,0.3,0,0.2,0.2,0.1,0.1,0.1,0.1,0.07923,0.1,1,1.7,1.3,1,1.7,2.5,2.5,3.6,3.3,2.2,1.6,2,2.2,1.7,2,2,NA,NA
        Cyprus,0.439060718,0.5,0.5,0.6,0.6,0.8,0,0.7,0.6,0.6,0.8,0.5,0.9,0.8,0.4,0.7,0.7,0.5,0.6,0.3,0.4,0.6,0.6,0.9,1.4,1.6,1.7,1.7,1.7,1.6,1.6,1.7,1.7,NA,NA
        Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,0.8,1.1,1.5,2.5,2.8,3.1,3.8,4.1,3.7,3.8,3.6,4,3.7,3.8,2.9,2.5,2.5,2.2,2.4,2.5,3.3,NA
        Côte d’Ivoire,0.270895589,0.3,0.3,0.4,0.5,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,0.8,0.8,0.8,0.5,0.5,0.8,0.9,0.9,0,0,2.2,2.3,2.4,3.7,2.7,3.3,NA,NA
        Denmark,4.185839872,4.4,4.5,3.7,3.5,3.2,2.1,1.7,1,0.4,0.3,0.3,0.4,0.5,0.3,0.3,0.3,0.095342466,0.3,0.031780822,0.1,0.2,0.031780822,0.095342466,0.1,0.2,0.1,0.2,0.4,0.2,0.2,0.3,0.2,0.6,NA
        Djibouti,NA,NA,NA,NA,NA,NA,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,1,1,1,1,1,1,1,NA,NA
        Dominica,NA,NA,NA,NA,NA,NA,0,0,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.03169,0.03169,0.03178,0.03178,0.031780822,0.063387978,0.063561644,0.063561644,0.063561644,0.063387978,0.063561644,0.063561644,0.063561644,0.063561644,0.063561644,0.063561644,0.063561644,0.063561644,NA,NA
        Dominican Republic,0.662167299,1.1,1.4,1.6,1.6,2.5,1.6,1.6,3,3,4,4.8,3.4,4.8,8.5,6,9.5,12,13,15,18,16,16,15,18,20,22,25,33,26,25,23,23,NA,NA
        Ecuador,0.812667676,1.7,1.9,2.5,2,2.2,2.5,5.9,5,6.1,6.4,6.4,6.4,6.1,7.9,11,8.1,13,13,14,13,15,17,18,18,18,13,27,25,25,26,27,25,NA,NA
        Egypt,4.845900891,5.4,6.7,5.9,4.8,4.6,4.8,4.3,0.7,1,2,1.1,2,0.2,0,0.8,0.2,13,12,19,26,27,35,41,48,55,46,60,65,78,73,70,66,NA,NA
        El Salvador,0.060184879,0.090290045,0.1,0.030105166,0.060184879,0.060184879,0.1,0.06035,0.8,0.5,0.6,0.7,0.8,1.2,1.3,1.6,2.6,3,3.1,3.6,4.1,4.4,4.8,5.2,5.1,5.3,6.9,7.6,6.5,7.1,7.4,6,8.3,NA,NA
        Equatorial Guinea,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0.03178,0.031780822,0.063387978,0.063561644,0.1,0.1,0.2,0.2,0.063561644,0.063561644,0.095342466,0.1,0,0.063561644,0.063561644,NA,NA
        Estonia,--,--,--,--,--,--,--,--,--,--,--,--,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.5,0.7,0.4,0.4,0.4,0.5,0.3,0.3,NA
        Eswatini,NA,NA,NA,NA,NA,NA,0.0264,0.00511,0.025,0.03137,0.0421,0.02799,0.03,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA
        Ethiopia,NA,NA,NA,NA,NA,NA,0,0,0.03678,0.027,0,0.01,0,0,0.2,0.3,0,0,0.06356,0.031780822,0.031693989,0.031780822,0.031780822,0.031780822,0.031693989,0,0,0,0,0,0,0.2,0.2,NA,NA
        Falkland Islands,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Faroe Islands,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Fiji,NA,NA,NA,NA,NA,NA,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.5,NA,NA
        Finland,0.263437704,0.2,0.1,0.2,0.2,0.2,0.3,0.5,0.3,3.9,5.3,0.8,0.4,1.1,1.8,9.2,14,13,15,3.2,4.5,6.6,4.9,7.5,6.2,6.4,5.2,6,6.9,5.6,8.1,9.9,9.2,9.2,NA
        Former Czechoslovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--
        Former U.S.S.R.,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Yugoslavia,3.424779234,4.1,2.8,3.4,3.2,1.8,0,1.1,2.2,1.3,0.05631,0.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        France,16.09935965,28,33,31,37,33,46,50,39,48,49,64,57,58,51,53,46,41,44,56,56,62,69,51,64,72,75,82,84,61,74,77,90,96,NA
        French Guiana,NA,NA,NA,NA,NA,NA,0.07064,0.07581,0.08763,0.09821,0.1,0.1,0.09508,0.06356,0.06356,0.06356,0.06338,0.06356,0.06356,0.063561644,0.063387978,0.063561644,0.063561644,0.063561644,0.063387978,0.063561644,0.063561644,0.063561644,0.076273973,0.1,0.1,0.1,0.1,NA,NA
        French Polynesia,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,NA,NA
        Gabon,NA,NA,NA,NA,NA,NA,0,0.1,0,0.00243,0,0,0.07289,0.1,0,0,0,0.03178,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.5,0.3,0.4,0,0.3,0.3,0.3,NA,NA
"        Gambia, The",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063561644,0.063561644,0.063561644,0.095342466,0.095342466,0.095342466,0.095342466,NA,NA
        Georgia,--,--,--,--,--,--,--,--,--,--,--,--,0,0.03178,0.03178,0.03,0.5,1.3,1.1,3.3,2.8,0.8,1.1,1,0.9,1.2,1.3,1.7,1.5,1.5,1.5,0.6,0.6,NA,NA
        Germany,--,--,--,--,--,--,--,--,--,--,--,29,32,30,32,31,35,35,30,24,21,23,20,21,20,22,25,22,28,28,29,28,35,32,NA
"        Germany, East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"        Germany, West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Ghana,NA,NA,NA,NA,NA,NA,0,0,0,0.03178,0.03178,0.03178,0.03169,0,0.03178,0.03178,0,0.03178,2.2,2.1,1.1,1.1,1,0.5,0.3,0.3,2.2,1.5,2.3,4.8,4.7,5.7,7.7,NA,NA
        Gibraltar,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Greece,0.731782712,0.2,0.1,0.1,0.087814689,0.058530399,0.2,0,0,0,0,0.095342466,0.063387978,0.9,0,0.031780822,0,0,0,1.6,0,0.031780822,0.4,0.3,0.4,0.3,0.7,0.7,1.5,1.3,0.4,1.6,1.4,1,NA
        Greenland,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001338513,0.011123288,0.002923836,0.002923836,0.002923836,NA,NA
        Grenada,NA,NA,NA,NA,NA,NA,0,0.03178,0.03169,0.03178,0.06356,0.06356,0.06338,0.06356,0.09534,0.08219,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA
        Guadeloupe,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.4,0.4,0.4,0.4,NA,NA
        Guam,NA,NA,NA,NA,NA,NA,0.1,0.1,0.08743,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.09562,0.1,0.2,0.1,0.1,0.095890411,0.084931507,0.054794521,0,0,0,0,0,0,0,0,0,NA,NA
        Guatemala,1.565150473,1.6,1.6,1.7,1.7,2.1,2.5,2.6,2.8,2.7,2.9,2.6,3.4,3,3.9,2.8,4.6,4.7,5.2,5.4,6,6.4,6.5,7,7.4,9.1,9.7,10,10,9.9,11,11,12,NA,NA
        Guinea,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Guinea-Bissau,NA,NA,NA,NA,NA,NA,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.031780822,0.031693989,0.031780822,0.031780822,0.031780822,0.031693989,0.031780822,0.063561644,0.063561644,0.065786301,0.070871233,0.070871233,0.070871233,0.070871233,NA,NA
        Guyana,NA,NA,NA,NA,NA,NA,1,0.6,0.6,0.5,0.4,0.1,0.4,0.09534,0.09534,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,NA,NA
        Haiti,0.090290045,0.090290045,0.1,0.090290045,0.1,0.1,0.1,0.3,0.3,0.4,0.2,0.2,0.09508,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.095342466,0.4,0.3,NA,NA
        Hawaiian Trade Zone,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Honduras,0.240790423,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.7,0.8,0.8,1.4,1.5,1.4,1.6,1.6,1.9,2,2.3,2.4,2.7,3.3,7.7,9.6,12,13,12,15,NA,NA
        Hong Kong,3.190485826,3.5,4,4.1,4.6,4.6,5.5,5.6,3.3,6.5,6.7,6.4,7.8,7.8,4.5,4.6,6,5.5,4.4,3.8,5.8,8.4,7.5,7.5,11,13,13,14,12,12,12,13,12,NA,NA
        Hungary,0.556153334,0.7,0.8,0.8,0.5,0.6,0.6,0.7,0.7,0.4,0.4,0.5,0.8,1.2,0.3,0.4,2.9,2.6,2.8,2.7,1.8,1.4,0.8,0.4,1,1,1.3,1.3,2.3,3.8,4.9,4.4,4.4,5.4,NA
        Iceland,0.029277926,0.029277926,0.029277926,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031693989,0.063561644,0.031780822,0,0.031693989,0.031780822,0,0.095342466,0.3,0,0.031780822,0.031780822,0.063387978,0.063561644,NA
        India,NA,NA,NA,NA,NA,1.1,0,0,7.9,9.1,19,12,8.2,11,18,22,33,36,44,45,20,21,34,55,65,76,73,101,75,88,131,157,200,NA,NA
        Indonesia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,5,5,4.7,16,8.7,2.2,4.4,13,29,52,63,82,NA,NA
        Iran,NA,13,19,77,55,76,0,17,10,0.03,0,0,0,0,0,0,0,18,0,0,0,0,6.8,10,11,12,7.2,8.6,9,9.5,7.7,6,5,NA,NA
        Iraq,1.053458099,6.8,8.7,3.5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,21,18,14,13,14,6.7,5.6,12,NA,NA
        Ireland,4.098025183,4.6,4.7,4.3,4,3.9,4.8,4.2,3.8,4.2,3.5,3.7,3.2,3.5,3.3,3.2,2.5,3,3.2,3.4,3.5,3.3,3.3,3.3,3.5,3.8,3.8,3.7,4.1,2.6,2,2.6,2.5,2.9,NA
        Israel,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,1.4,2.3,1.2,2.5,3.4,2.3,4.7,5,7.1,7,7.4,6.9,6.9,6.8,6.9,NA
        Italy,18.3240048,20,19,25,27,36,29,37,41,48,45,50,37,44,47,58,57,55,55,63,60,58,44,42,49,53,51,47,51,58,64,63,63,73,NA
        Jamaica,0.421370513,0.6,0.4,0.5,0.7,0.7,1,1.6,2,1,0.9,1.3,1,0,2.3,1.1,2.8,2.6,2.2,2.4,1.7,1.8,1.8,2.2,2.1,2.4,2.3,3,2.3,2.3,2.3,2.3,2.4,NA,NA
        Japan,295.1862072,306,360,330,344,350,380,401,402,445,468,463,484,484,483,469,480,488,443,455,460,450,437,447,441,426,450,427,439,376,386,395,429,376,NA
        Jordan,0.391297163,NA,NA,0.060184879,0.2,0.3,0.2,0.5,0.6,0.6,0.6,1,1,1.3,1.7,2.5,2.7,2.8,3.3,4.4,4.2,4.4,4.9,5.4,5.7,5.7,5.8,7.4,6.9,7.4,7,9.2,9.2,NA,NA
        Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,0,6.6,2.5,1.7,2.8,2.7,3.3,0,2,0.3,0.4,0.2,0.2,0.2,0.1,2,0.8,0.3,0.1,0.095342466,0.2,NA,NA
        Kenya,NA,NA,0.030105166,NA,NA,NA,0,0,0.00535,0.00063,0,0.00038,0,0.05593,0,0,0.2,0.3,0.06356,0,0,0,0,0,0.3,0.8,0.9,1.5,1,1,1,2,2.4,NA,NA
        Kiribati,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Kosovo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.4,1.5,1.4,1.5,1.4,1.2,NA
        Kuwait,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--,--,2.5,1.1,0.1,0.3,0.5,0,0,0,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0.4,0.3,0.3,NA,NA
        Laos,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,NA,NA
        Latvia,--,--,--,--,--,--,--,--,--,--,--,--,1.9,2,1.7,1.2,1,1.2,1.4,1.2,1.5,1.5,1.5,1.7,2.1,2.3,2.2,3,2.9,3.4,3.9,4.4,4.9,NA,NA
        Lebanon,NA,0.3,0.3,2.1,1.8,2.1,2.4,2.5,2.1,2.4,2.6,1.5,3.4,5.5,4.9,5.5,6.7,4.5,4.4,4.3,5.2,5,4.9,6.5,7,5.3,5.1,3.3,5.2,6.3,5.2,6.3,7.7,NA,NA
        Lesotho,NA,NA,NA,NA,NA,NA,0.00758,0.00758,0.00756,0.00758,0.00758,0.00758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Liberia,NA,NA,NA,NA,NA,NA,0.00143,0.03178,0,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.031780822,0.063387978,0.063561644,0.095342466,0.095342466,0.095081967,0.063561644,0.095342466,0.095342466,0.095342466,0.095342466,0.095342466,0.095342466,0.095342466,NA,NA
        Libya,NA,NA,NA,NA,NA,NA,0.6,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
        Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,0.03169,0.2,0.2,0.7,0.8,0.9,1.2,2.1,2.7,1.7,1.3,2.4,2.3,2.3,2.9,3.8,2.5,2.7,3.4,3.6,3.6,NA,NA
        Luxembourg,0.819597401,0.8,0.7,0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.7,0.6,0.6,0.4,0.4,0.4,0.6,0.4,0.7,1,1,1,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.3,0.4,0.3,0.4,0,NA
        Macau,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.8,1,1.1,1.3,1.3,1.3,1.3,1.4,NA,NA
        Madagascar,NA,NA,NA,NA,NA,NA,0,0,0,0.03178,0.00953,0.03178,0.06338,0.06356,0.06356,0.06356,0.06338,0.06356,0.06356,0.063561644,0.095081967,0.095342466,0.095342466,0.095342466,0.095081967,0.095342466,0.3,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA
        Malawi,NA,NA,NA,NA,NA,NA,0,0.01225,0,0.1,0.1,0.1,0.1,0.00681,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.031693989,0.2,0.063561644,0.063561644,0.069917808,0.069917808,0.069917808,0.069917808,0.069917808,NA,NA
        Malaysia,0.963168054,1.1,1.2,1.6,1.3,1.3,0,4.4,0.099,5.8,5.8,8.1,8.1,7.9,15,11,12,25,8.2,7.5,8.2,7.5,9.6,19,8.1,14,10,9.3,5,12,13,16,13,NA,NA
